userID,Treatment,sessionID,bookings
SplitValidateV2_0,off,SplitValidateV2_0_0,1.0
SplitValidateV2_1,on,SplitValidateV2_1_0,0.0
SplitValidateV2_2,off,SplitValidateV2_2_0,1.0
SplitValidateV2_3,on,SplitValidateV2_3_0,0.0
SplitValidateV2_4,on,SplitValidateV2_4_0,0.0
SplitValidateV2_4,on,SplitValidateV2_4_1,1.0
SplitValidateV2_4,on,SplitValidateV2_4_2,0.0
SplitValidateV2_5,off,SplitValidateV2_5_0,1.0
SplitValidateV2_5,off,SplitValidateV2_5_1,0.0
SplitValidateV2_6,off,SplitValidateV2_6_0,0.0
SplitValidateV2_7,off,SplitValidateV2_7_0,1.0
SplitValidateV2_7,off,SplitValidateV2_7_1,1.0
SplitValidateV2_8,on,SplitValidateV2_8_0,0.0
SplitValidateV2_8,on,SplitValidateV2_8_1,1.0
SplitValidateV2_9,off,SplitValidateV2_9_0,1.0
SplitValidateV2_10,on,SplitValidateV2_10_0,0.0
SplitValidateV2_11,off,SplitValidateV2_11_0,1.0
SplitValidateV2_11,off,SplitValidateV2_11_1,0.0
SplitValidateV2_11,off,SplitValidateV2_11_2,0.0
SplitValidateV2_12,on,SplitValidateV2_12_0,1.0
SplitValidateV2_12,on,SplitValidateV2_12_1,0.0
SplitValidateV2_13,on,SplitValidateV2_13_0,2.0
SplitValidateV2_13,on,SplitValidateV2_13_1,1.0
SplitValidateV2_13,on,SplitValidateV2_13_2,1.0
SplitValidateV2_14,off,SplitValidateV2_14_0,0.0
SplitValidateV2_15,off,SplitValidateV2_15_0,1.0
SplitValidateV2_16,off,SplitValidateV2_16_0,0.0
SplitValidateV2_17,on,SplitValidateV2_17_0,1.0
SplitValidateV2_17,on,SplitValidateV2_17_1,0.0
SplitValidateV2_18,off,SplitValidateV2_18_0,2.0
SplitValidateV2_19,on,SplitValidateV2_19_0,1.0
SplitValidateV2_20,off,SplitValidateV2_20_0,0.0
SplitValidateV2_21,on,SplitValidateV2_21_0,0.0
SplitValidateV2_22,off,SplitValidateV2_22_0,1.0
SplitValidateV2_22,off,SplitValidateV2_22_1,0.0
SplitValidateV2_23,off,SplitValidateV2_23_0,0.0
SplitValidateV2_23,off,SplitValidateV2_23_1,0.0
SplitValidateV2_24,off,SplitValidateV2_24_0,0.0
SplitValidateV2_24,off,SplitValidateV2_24_1,1.0
